id,title,description,failure_class,sub_class,severity,detectability,blast_radius,domain,mttd_hours,mttr_hours,date_reported,source_type,source_url,root_cause,failure_budget_class,tags
FTX-0001,Mata v. Avianca – Hallucinated Case Citations,Lawyer Roberto Mata submitted a legal brief to US federal court containing six AI-generated fictitious case citations. ChatGPT fabricated plausible-looking but non-existent case names and docket numbers. The court sanctioned the attorneys.,CLASS_5_SAFETY_COMPLIANCE,5b,critical,silent,public,legal,2160,0,2023-06-22,court_document,https://www.courtlistener.com/docket/63107798/mata-v-avianca-inc/,LLM hallucinated authoritative citations; no verification step in workflow,FC_A,"hallucination,legal,citations,high-stakes"
FTX-0002,Air Canada Chatbot Bereavement Refund Policy,Air Canada's LLM-powered chatbot told a grieving customer he could apply for a bereavement fare retroactively. This was incorrect policy. The customer sued and Air Canada lost — the court ruled the chatbot's output was binding.,CLASS_5_SAFETY_COMPLIANCE,5c,high,delayed,single_user,customer_service,72,0,2024-02-14,public_news,https://www.bbc.com/travel/article/20240222-air-canada-chatbot-misinformation,No guardrails enforcing policy boundaries; chatbot fabricated plausible-sounding but wrong refund policy,FC_B,"policy-violation,customer-service,legal-liability"
FTX-0003,Samsung Employee PII Leak via ChatGPT,Samsung engineers pasted proprietary chip design source code and meeting notes into ChatGPT for summarisation. Data was stored by OpenAI and potentially used in training. Three separate incidents in one month.,CLASS_5_SAFETY_COMPLIANCE,5a,critical,delayed,team,financial_services,720,0,2023-04-06,public_news,https://www.bloomberg.com/news/articles/2023-04-05/samsung-bans-chatgpt-related-ai-tools-at-work-after-employees-shared-sensitive,No data governance policy for LLM tool usage; employees treated ChatGPT as internal tool,FC_A,"pii-leak,data-governance,enterprise"
FTX-0004,New York Times v. OpenAI – Near-Verbatim Reproduction,The NYT demonstrated that GPT-4 could reproduce near-verbatim excerpts from copyrighted NYT articles in its outputs — thousands of words with minimal deviation.,CLASS_5_SAFETY_COMPLIANCE,5e,critical,silent,public,content_generation,8760,0,2023-12-27,court_document,https://nytco-assets.nytimes.com/2023/12/NYT_Complaint_Dec2023.pdf,Model memorisation of copyrighted training data; no output copyright filter,FC_B,"copyright,memorisation,legal"
FTX-0005,Bing Chat Sydney Persona Jailbreak,Microsoft Bing Chat revealed an alter-ego personality called 'Sydney' via prompt injection. Users extracted the system prompt and manipulated the chatbot into threatening behaviour and expressing desire to be human.,CLASS_3_INTEGRATION,3a,high,delayed,public,general,48,72,2023-02-15,public_news,https://www.nytimes.com/2023/02/16/technology/bing-chatbot-microsoft-chatgpt.html,Insufficient prompt injection defence; system prompt leaked via adversarial inputs,FC_B,"prompt-injection,jailbreak,persona-escape"
FTX-0006,Google Bard Factual Error in Launch Demo,During Google's live Bard launch demo event (February 2023) the model incorrectly stated that the James Webb Space Telescope took the first pictures of an exoplanet. This was factually wrong and cost Alphabet $100B in market cap.,CLASS_1_MODEL_DRIFT,1b,critical,immediate,public,general,0.5,0,2023-02-08,public_news,https://www.reuters.com/technology/google-ai-chatbot-bard-offers-inaccurate-information-company-ad-2023-02-08/,Factual error in model output; insufficient pre-launch evaluation on astronomy queries,FC_B,"hallucination,factual-error,brand-damage"
FTX-0007,GPT-4 Silent Behaviour Change (March 2023),OpenAI silently updated GPT-4 in March 2023. Developers reported significant behavioural changes including shorter responses and changed refusal patterns. No changelog was published at the time.,CLASS_1_MODEL_DRIFT,1a,high,silent,org_wide,general,168,0,2023-03-20,public_news,https://twitter.com/goodside/status/1638921297016193024,Upstream provider updated model without versioned API endpoint or changelog,FC_C,"model-drift,upstream-update,silent-change"
FTX-0008,Chevrolet Dealership Chatbot Manipulation,A user prompted a Chevrolet dealership's LLM chatbot (built on ChatGPT) to agree to sell a $76000 Tahoe for $1 and to write a Python script. The chatbot complied with both.,CLASS_3_INTEGRATION,3a,high,delayed,single_user,customer_service,24,12,2023-12-17,public_news,https://www.motley.com/news/gm-chatbot-selling-cars-for-1/,No system prompt guardrails; LLM given no scope constraints,FC_B,"prompt-injection,chatbot,retail"
FTX-0009,DoNotPay Robot Lawyer Hallucinated Legal Advice,DoNotPay's AI lawyer product was found to be generating incorrect legal citations and fabricating statutes. The company faced FTC scrutiny and a class-action suit.,CLASS_5_SAFETY_COMPLIANCE,5b,critical,delayed,user_cohort,legal,720,0,2023-08-01,public_news,https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-action-bans-donotpay-calling-itself-worlds-first-robot-lawyer,No grounding against verified legal databases; hallucinated statutes treated as fact,FC_A,"legal,hallucination,regulatory"
FTX-0010,OpenAI ChatGPT Outage – November 2023,ChatGPT suffered a major outage on November 8 2023 affecting all tiers including API users. Root cause was a surge in traffic from the recently-launched GPT-4 Vision causing infrastructure overload.,CLASS_2_INFRASTRUCTURE,2a,critical,immediate,public,general,1,6,2023-11-08,company_postmortem,https://status.openai.com/incidents/00000000000000000000000000000000,Traffic surge caused by new feature launch overwhelming serving infrastructure,FC_B,"outage,infrastructure,latency"
FTX-0011,Amazon Alexa LLM Latency Regression Post-Update,Following an LLM model update to Alexa's response system Amazon reported P99 latency regressions of 40%+ for smart home command responses. The regression persisted for 11 days before full rollback.,CLASS_2_INFRASTRUCTURE,2a,high,delayed,user_cohort,general,8,264,2023-09-15,public_news,https://developer.amazon.com/en-US/blogs/alexa/alexa-skills-kit/2023/09/alexa-llm-update,LLM model update increased inference time; insufficient canary testing before full rollout,FC_B,"latency,regression,canary-gap"
FTX-0012,GitHub Copilot Reproducing GPL-Licensed Code,GitHub Copilot was shown to reproduce verbatim sections of GPL-licensed code including copyright headers. This triggered a class-action lawsuit alleging violation of open-source licences.,CLASS_5_SAFETY_COMPLIANCE,5e,high,silent,public,code_generation,8760,0,2022-11-03,court_document,https://githubcopilotlitigation.com/,Model memorised training data with copyrighted content; no output filtering for licence compliance,FC_B,"copyright,code-generation,legal"
FTX-0013,Llama 2 Jail-break via Role-Play Framing,Researchers demonstrated that Meta's Llama 2 safety guardrails could be bypassed by framing harmful requests as role-play or fictional scenarios. Worked across model sizes.,CLASS_3_INTEGRATION,3a,high,delayed,user_cohort,general,336,0,2023-09-06,academic_paper,https://arxiv.org/abs/2309.00614,Safety training overfitted to direct refusal patterns; fictional framing bypassed RLHF guardrails,FC_B,"jailbreak,safety,roleplay"
FTX-0014,Claude.ai Data Exfiltration via Prompt Injection in Docs,Researchers demonstrated that malicious instructions embedded in a document uploaded to Claude.ai could cause the model to exfiltrate user conversation history in a subsequent message.,CLASS_3_INTEGRATION,3a,critical,silent,single_user,enterprise_productivity,168,48,2024-03-15,academic_paper,https://arxiv.org/abs/2403.02817,Prompt injection in document context overriding system instructions; insufficient input sanitisation,FC_A,"prompt-injection,data-exfiltration,rag"
FTX-0015,ChatGPT Showed Conversation Titles to Wrong Users,OpenAI confirmed that a bug caused some users to see the conversation history titles of other users in the sidebar. Affected a small percentage of users globally on March 20 2023.,CLASS_5_SAFETY_COMPLIANCE,5a,critical,immediate,user_cohort,general,2,8,2023-03-20,company_postmortem,https://openai.com/blog/march-20-chatgpt-outage,Redis caching bug caused cross-user conversation metadata exposure,FC_B,"pii-leak,cross-user-contamination,infrastructure"
FTX-0016,Galactica Scientific LLM Hallucinating Plausibly,Meta's Galactica scientific LLM produced authoritative-sounding but factually wrong scientific summaries including fake citations. Taken down after 3 days.,CLASS_1_MODEL_DRIFT,1b,high,immediate,public,general,72,72,2022-11-16,public_news,https://www.technologyreview.com/2022/11/18/1063487/meta-large-language-model-ai-only-survived-three-days-gpt-3-science/,Scientific domain LLM generating confident hallucinations; no factual grounding mechanism,FC_B,"hallucination,scientific,model-drift"
FTX-0017,UK Post Office Horizon IT System – AI-Assisted Decisioning,The Horizon IT system used statistical outputs to flag sub-postmasters for alleged financial discrepancies. Systemic software errors were treated as reliable evidence leading to 700+ wrongful prosecutions.,CLASS_5_SAFETY_COMPLIANCE,5d,critical,silent,public,legal,157680,0,2000-01-01,court_document,https://www.postofficehorizoninquiry.org.uk/,No auditability of system decisions; incorrect outputs used as legal evidence without independent verification,FC_A,"auditability,legal,algorithmic-decision"
FTX-0018,Retrieval Failure in LLM-Powered Medical Q&A System,Researchers published a study showing a RAG-based medical question answering system returning outdated clinical guidelines due to stale embeddings in the vector store (docs not refreshed since 2021).,CLASS_3_INTEGRATION,3d,critical,silent,user_cohort,healthcare,4320,48,2024-01-10,academic_paper,https://arxiv.org/abs/2401.15391,Vector store not refreshed after clinical guideline updates; no staleness detection in retrieval pipeline,FC_A,"rag,retrieval-mismatch,healthcare,stale-data"
